#,Name,Function
1,Names and Classifications,"This category gathers together descriptors used for assigning names and types to an artwork, both at present and historically."
2,Description,This category is used to gather together information regarding significant descriptions given of a work by known authors/sources.
3,Part/Whole,This category is used to bring together information relevant to the mereological relations between an artwork and its parts.
4,Existence,This category gathers together descriptors relevant to the tracking of the creation and destruction of an artwork.
5,Actor Relations,This category gathers together descriptors relevant to tracking the significant relations between the artwork and known actors. Primary of such relations are those of creator to the work.
6,Substance,This category gathers together descriptors used for stating the physical constitutional features of the documented artwork.
7,Representation,This category gathers together descriptors regarding the representational level recognised to be present in the documented artwork.
8,Events,This category gathers together information about significant documented events that an artwork may go through.
9,Location,This category gathers together information regarding the present location of a documented artwork.
10,Rights,This category gathers together information regarding the rights claims on a documented artwork.
11,Documentation,This category gathers together different descriptors that provide reference information with regards to an artwork.
