identifier,Model Specific Name,Model Specific Description,CRM Path,used by
artwork_113_past_ownership_period_statement_-_earliest_date_of_taking_of_possession,Past Ownership Period Statement - Earliest date of taking of Possession,This field is used to indicate the earliest date for an ownership period of the documented artwork.,--> P24i --> E8[113_1] --> P4 --> E52[113_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_114_past_ownership_period_statement_-_latest_date_of_taking_of_possession,Past Ownership Period Statement - Latest Date of taking of Possession,This field is used to indicate the latest date for an ownership period of the documented artwork.,--> P24i --> E8[113-1] --> P4 --> E52[113_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_115_past_ownership_period_statement_-_actor_obtaining_ownership,Past Ownership Period Statement - Actor Obtaining Ownership,This field is used to indicate the actor holding ownership over the documented artwork during an ownership period.,--> P24i --> E8[113_1] --> P22 --> E39 [115_1],Swiss Art Research Infrastructure
artwork_116_past_ownership_period_statement_-_earliest_ceding_of_possession,Past Ownership Period Statement - Earliest Ceding of Possession,This field is used to record the earliest possible date for ceding of possession of the documented artwork by some actor.,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_117_past_ownership_period_statement_-_latest_ceding_of_possession,Past Ownership Period Statement - Latest Ceding of Possession,This field is used to record the latest possible date for ceding of possession of the documented artwork by some actor.,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_118_past_ownership_period_statement_-_actor_ceding_ownership,Past Ownership Period Statement - Actor Ceding Ownership,This field is used to record the actor who has ceded possession of the documented artwork.,--> P24i --> E8[116_1] --> P23 --> E39 [118_1],Swiss Art Research Infrastructure
artwork_119_past_ownership_description,Past Ownership Description,This field used to provide a free text description related to an ownership period for the documented artwork.,--> P24i --> E8[113_1] --> P129i --> E33 [119_1],Swiss Art Research Infrastructure
artwork_107_conservation_event_-_type,Conservation Event - Type,This field is used to indicate the type of conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P2 --> E55 [107_2],Swiss Art Research Infrastructure
artwork_108_conservation_event_-_earliest,Conservation Event - Earliest,This field is used to indicate the earliest date for a conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_109_conservation_event_-_latest,Conservation Event - Latest,This field is used to indicate the latest date for a conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_110_conservation_event_-_technique,Conservation Event - technique,This field is used to indicate the technique used in the conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P32 --> E55 [110_1],Swiss Art Research Infrastructure
artwork_111_conservator,Conservator,This field is used to indicate the actor the carried out the conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P14 --> E21 [111_1],Swiss Art Research Infrastructure
artwork_112_conservation_event_description,Conservation Event Description,This field used to provide a free text description related to the conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P129i --> E33 [112_1],Swiss Art Research Infrastructure
