identifier,Model Specific Name,Model Specific Description,CRM Path,used by
artwork_1_identifier,Identifier,This field is used to indicate an identifier attributed to the documented instance of artwork.,--> P1 --> E42[1_1] --> P190 --> rdf:literal,Swiss Art Research Infrastructure
artwork_2_identifier_type,Identifier Type,This field is used to indicate the type of an identifier attributed to the documented artwork.,--> P1--> E42[1_1] --> P2--> E55[2_1],Swiss Art Research Infrastructure
artwork_3_identifier_provider,Identifier Provider,This field is used to indicate the institution providing the artwork it's ID.,--> P1--> E42[1_1] --> P37i--> E15[3_1] --> P14--> E39[3_2],Swiss Art Research Infrastructure
artwork_4_identifier_source,Identifier Source,This field is used to indicate the main name attributed to the documented artwork.,--> P1--> E42[1_1] --> P37i--> E15[3_1] --> P16--> E73[4_1],Swiss Art Research Infrastructure
artwork_5_name,Title,This field is used to indicate the main title attributed to the documented artwork.,--> P1--> E33_E41[5_1] --> P190 --> rdf:literal<br><br>--> P1--> E33_E41[5_1] --> P2--> E55[5_2]{'preferred terms'},Swiss Art Research Infrastructure
artwork_6_name_language,Title Language,This field is used to record the language of the main title attributed to the documented artwork. ,--> P1--> E33_E41[5_1] --> P72--> E56[6_1],Swiss Art Research Infrastructure
artwork_17_type,Type,This field is used to indicate the formal type of object an artwork is.,--> P2 --> E55[17_1],Swiss Art Research Infrastructure
artwork_10_alternative_name,Alternative Title,This field is used to indicate additional names under which the documented artwork is known. This can be linked to the additional name type and earliest and latest date of use of that name.,--> P1 --> E33_E41[10_1]  --> P190 --> rdf:literal,Swiss Art Research Infrastructure
artwork_11_alternative_name_type,Alternative Title Type,This field is used to indicate the type of alternative name that is attributed to the documented artwork.,--> P1 --> E33_E41[10_1] --> P2 --> E55 [11_1],Swiss Art Research Infrastructure
artwork_12_alternative_name_language,Alternative Title Language,This field is used to record the language of the alternative name attributed to the documented artwork.,--> P1 --> E33_E41[10_1] --> P72 --> E56 [12_1],Swiss Art Research Infrastructure
artwork_13_alternative_name_use_period_-_earliest,Alternative Title Use Period - Earliest,This field is used to indicate the earliest known date for use of this name for the documented artwork.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_14_alternative_name_use_period_-_latest,Alternative Title Use Period - Latest,This field is used to indicate the latest known date for use of this name for the documented artwork.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
artwork_15_alternative_name_-_attributed_by,Alternative Title - Attributed by,This field is used to record the organization or individual attributing the alternative name to the documented artwork.,--> P1 --> E33_E41[10_1]--> P141i--> E13[15_1] --> P14 → E39 [15_2],Swiss Art Research Infrastructure
