identifier,Model Specific Name,Model Specific Description,CRM Path,used by
builtwork_1_identifier,Identifier,This field is used to indicate an identifier attributed to the documented built work.,--> P1 --> E42[1_1] --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
builtwork_2_identifier_type,Identifier Type,This field is used to indicate the type of an identifier attributed to the documented built work.,--> P1 --> E42[1_1] --> P2 --> E55[2_1],Swiss Art Research Infrastructure
builtwork_3_identifier_provider,Identifier Provider,This field is used to indicate the institution providing the documented built work it's ID.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P14 --> E39[3_2],Swiss Art Research Infrastructure
builtwork_4_identifier_source,Identifier Source,This field is used to indicate the source based on which the identifier was attributed to the object.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P16 --> E73[4_1],Swiss Art Research Infrastructure
builtwork_5_name,Name,This field is used to indicate the main name attributed to the documented instance of built work.,--> P1 --> E33_E41[5_1] --> P190 --> rdfs:Literal<br><br> --> P1 --> E33_E41[5_1] --> P2 --> E55[5_2]{'preferred terms'},Swiss Art Research Infrastructure
builtwork_6_name_language,Name Language,This field is used to indicate the language of the name attributed to the documented built work.,--> P1 --> E33_E41[5_1] --> P72 --> E56[6_1],Swiss Art Research Infrastructure
builtwork_17_type,Type,This field is used to indicate the formal type of the documented built work.,--> P2 --> E55[17_1],Swiss Art Research Infrastructure
builtwork_10_alternative_name,Alternative Name,This field is used to indicate additional names under which the documented instance of built work is known. This can be linked to the additional name type and earliest and latest date of use of that name.,--> P1 --> E33_E41[10_1]  --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
builtwork_11_alternative_name_type,Alternative Name Type,This field is used to indicate the type of alternative name that is attributed to the documented instance of built work.,--> P1 --> E33_E41[10_1] --> P2 --> E55[11_1],Swiss Art Research Infrastructure
builtwork_12_alternative_name_language,Alternative Name Language,This field is used to indicate the language of the alternative name attributed to the documented built work.,--> P1 --> E33_E41[10_1] --> P72 --> E56[12_1],Swiss Art Research Infrastructure
builtwork_13_alternative_name_use_period_-_earliest,Alternative Name Use Period - Earliest,This field is used to indicate the earliest known date for use of an alternative name for the documented instance of built work.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_14_alternative_name_use_period_-_latest,Alternative Name Use Period - Latest,This field is used to indicate the latest known date for use of an alternative name for the documented instance of built work.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_15_alternative_name_-_attributed_by,Alternative Name - Attributed by,This field is used to indicate the organization or individual attributing the alternative name to the documented built work.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P14 --> E39[15_2],Swiss Art Research Infrastructure
builtwork_201_style,Style,This field is used to associate the documented instance of built work to a style which it can be classified with or for which it is exemplary.,"--> P2 --> E55[201_1]<br><br> --> P2 --> E55[201_1] --> P2 --> E55 ""Style""[201_2]",Swiss Art Research Infrastructure
builtwork_202_style_attributor,Style Attributor,This field is used to associate the documented instance of built work to a style which it can be classified with or for which it is exemplary.,--> P2 --> E55[201_1] --> P141i --> E17[202_1] --> P14 --> E39[202_2],Swiss Art Research Infrastructure
