identifier,Model Specific Name,Description,CRM Path,used by
builtwork_105_use_period_-_start,Use Period - Start,This field is used to record the start of a kind of period of use for the built work.,--> P12i --> E5[104_1] --> P4 --> E52[105_1] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_106_use_period_-_end,Use Period - End,This field is used to record the end of a period of use for the documented object.,--> P12i --> E5[104_1] --> P4 --> E52[105_1] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_104_use_period_-_type,Use Period - Type,This field is used to record the kind of period of use of the documented object.,"--> P12i --> E5[104_1] --> P2 --> E55 ""Use Period Type"" [104_2]",Swiss Art Research Infrastructure
builtwork_113_past_ownership_period_statement_-_earliest_date_of_taking_of_possession,Past Ownership Period Statement - Earliest date of taking of Possession,This field is used to record the earliest possible date for taking possession of the documented object by some actor.,--> P24i --> E8[113_1] --> P4 --> E52[113_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_114_past_ownership_period_statement_-_latest_date_of_taking_of_possession,Past Ownership Period Statement - Latest Date of taking of Possession,This field is used to record the latest possible date for taking possession of the documented object by some actor.,--> P24i --> E8[113-1] --> P4 --> E52[113_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_115_past_ownership_period_statement_-_actor_obtaining_ownership,Past Ownership Period Statement - Actor Obtaining Ownership,This field is used to record the actor taking possession of the documented object.,--> P24i --> E8[113_1] --> P22 --> E39 [115_1],Swiss Art Research Infrastructure
builtwork_116_past_ownership_period_statement_-_earliest_ceding_of_possession,Past Ownership Period Statement - Earliest Ceding of Possession,This field is used to record the earliest possible date for ceding of possession of the documented object by some actor.,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_117_past_ownership_period_statement_-_latest_ceding_of_possession,Past Ownership Period Statement - Latest Ceding of Possession,This field is used to record the latest possible date for ceding of possession of the documented object by some actor.,--> P24i --> E8[113_1] --> P115i --> E8[116_1] --> P4 --> E52[116_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_118_past_ownership_period_statement_-_actor_ceding_ownership,Past Ownership Period Statement - Actor Ceding Ownership,This field is used to record the actor who has ceded possession of the documented object.,--> P24i --> E8[116_1] --> P23 --> E39 [118_1],Swiss Art Research Infrastructure
builtwork_119_past_ownership_description,Past Ownership Description,This field used is used to record a description in free text related to an ownership period for the documented object.,--> P24i --> E8[113_1] --> P129i --> E33 [119_1],Swiss Art Research Infrastructure
builtwork_107_conservation_event_-_type,Conservation Event - Type,This field is used to record the type of conservation event performed on the documented physical object.,--> P31i --> E11[107_1] --> P2 --> E55 [107_2],Swiss Art Research Infrastructure
builtwork_108_conservation_event_-_earliest,Conservation Event - Earliest,This field is used to record the earliest date for a conservation event performed on the documented physical object.,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_109_conservation_event_-_latest,Conservation Event - Latest,This field is used to record the latest date for a conservation event performed on the documented physical object.,--> P31i --> E11[107_1] --> P4 --> E52[108_1] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
builtwork_110_conservation_event_-_technique,Conservation Event - technique,This field is used to record the technique used in the conservation event performed on the documented object.,--> P31i --> E11[107_1] --> P32 --> E55 [110_1],Swiss Art Research Infrastructure
builtwork_111_conservator,Conservator,This field is used to record the actor that  carried out the conservation event performed on the documented object.,--> P31i --> E11[107_1] --> P14 --> E21 [111_1],Swiss Art Research Infrastructure
builtwork_112_conservation_event_description,Conservation Event Description,This field used to record a description in free text format related to the conservation event performed on the documented artwork.,--> P31i --> E11[107_1] --> P129i --> E33 [112_1],Swiss Art Research Infrastructure
