identifier,Model Specific Name,Description,CRM Path,used by
event_56_time_description,Time Description Author,This field is used to record a free text describing the time span of the documented temporal entity.,--> P4 --> E52[48_1] --> P129i --> E33 [56_1],Swiss Art Research Infrastructure
event_57_preceding_event,Preceding Event,This field is used to record an event preceding the documented event which was undertaken in preparation for it.,--> P20i --> E5 [57_1],Swiss Art Research Infrastructure
event_48_earliest_possible_start_date,Earliest Possible Start Date,This field is used to record the earliest possible start date for the documented temporal entity.,--> P4 --> E52[48_1] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
event_49_latest_possible_start_date,Latest Possible Start Date,This field is used to record the latest possible start date for the documented temporal entity.,--> P4 --> E52[48_1] --> P81a --> xsd:dateTime,Swiss Art Research Infrastructure
event_50_earliest_possible_end_date,Earliest Possible End Date,This field is used to record the earliest possible end date for the documented temporal entity.,--> P4 --> E52[48_1] --> P81b --> xsd:dateTime,Swiss Art Research Infrastructure
event_51_latest_possible_end_date,Latest Possible End Date,This field is used to record the latest possible end date for the documented temporal entity.,--> P4 --> E52[48_1] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
event_52_maximal_duration_-_value,Maximal Duration - Value,This field is used to record the time value of the maximal known duration of the documented temporal entity.,--> P4 --> E52[48_1] --> P84 --> E54[52_1] --> P90 --> xsd:dateTime,Swiss Art Research Infrastructure
event_53_maximal_duration_-_unit,Maximal Duration - Unit,This field is used to indicate the unit of the time value of the maximal known duration of the documented temporal entity.,--> P4 --> E52[48_1] --> P84 --> E54[52_1] --> P91 --> E58,Swiss Art Research Infrastructure
event_54_minimal_duration_-_value,Minimal Duration - Value,This field is used to record the time value of the minimal known duration of the documented temporal entity.,--> P4 --> E52[48_1] --> P83 --> E54[54_1] --> P90 --> xsd:dateTime,Swiss Art Research Infrastructure
event_55_minimal_duration_-_unit,Minimal Duration - Unit,This field is used to record the unit of the time value of the minimal known duration of the temporal entity.,--> P4 --> E52[48_1] --> P83 --> E54[54_1] --> P91 --> E58 [55_1],Swiss Art Research Infrastructure
event_56_time_description,Time Description,This field is used to record a free text describing the time span of the documented temporal entity.,--> P4 --> E52[48_1] --> P129i --> E33 [56_1],Swiss Art Research Infrastructure
