identifier,Model Specific Name,Model Specific Description,CRM Path,used by
event_15_alternative_name_-_attributed_by,Alternative Name - Used by,This field is used to indicate the actor by whom the alternate name attributed to the instance of event is/was used.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P14 --> E39[15_2],Swiss Art Research Infrastructure
event_1_identifier,Identifier,This field is used to indicate an identifier attributed to the documented event.,--> P1 --> E42[1_1] --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
event_2_identifier_type,Identifier Type,This field is used to indicate the type of an identifier attributed to the documented event.,--> P1 --> E42[1_1] --> P2 --> E55[2_1],Swiss Art Research Infrastructure
event_3_identifier_provider,Identifier Provider,This field is used to indicate the institution providing the documented event its ID.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P14 --> E39[3_2],Swiss Art Research Infrastructure
event_4_identifier_source,Identifier Source,This field is used to indicate the source based on which the identifier was attributed to the documented event.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P16 --> E73[4_1],Swiss Art Research Infrastructure
event_5_name,Name,This field is used to indicate the main name attributed to the documented instance of event.,--> P1 --> E33_E41[5_1] --> P190 --> rdfs:Literal<br><br> --> P1 --> E33_E41[5_1] --> P2 --> E55[5_2]{'preferred terms'},Swiss Art Research Infrastructure
event_6_name_language,Name Language,This field is used to indicate the language of the name attributed to the documented event.,--> P1 --> E33_E41[5_1] --> P72 --> E56[6_1],Swiss Art Research Infrastructure
event_17_type,Event Type,This field is used to indicate the formal type of event a documented instance of event is classified as.,--> P2 --> E55[17_1],Swiss Art Research Infrastructure
event_10_alternative_name,Alternative Name,This field is used to indicate additional names under which the documented instance of event is known. This can be linked to the additional name type and earliest and latest date of use of that name.,--> P1 --> E33_E41[10_1]  --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
event_11_alternative_name_type,Alternative Name Type,This field is used to indicate the type of alternative name that is attributed to the documented instance of event.,--> P1 --> E33_E41[10_1] --> P2 --> E55[11_1],Swiss Art Research Infrastructure
event_12_alternative_name_language,Alternative Name Language,This field is used to indicate the language of the alternative name attributed to the documented instance of event.,--> P1 --> E33_E41[10_1] --> P72 --> E56[12_1],Swiss Art Research Infrastructure
event_13_alternative_name_use_period_-_earliest,Alternative Name Use Period - Earliest,This field is used to indicate the earliest known date for use of an alternative name for the documented instance of event.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
event_14_alternative_name_use_period_-_latest,Alternative Name Use Period - Latest,This field is used to indicate the latest known date for use of an alternative name for the documented instance of event.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
event_15_alternative_name_-_attributed_by,Alternative Name - Attributed by,This field is used to indicate the organization or individual attributing the alternative name to the documented instance of event.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P14 --> E39[15_2],Swiss Art Research Infrastructure
event_16_alternative_name_-_source,Alternative Name - Source,This field is used to indicate the actor by whom the alternative name attributed to the instance of event is/was used.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P16 --> E73[16_1],Swiss Art Research Infrastructure
