identifier,Model Specific Name,Model Specific Description,CRM Path,used by
place_1_identifier,Identifier,This field is used to indicate an identifier attributed to the documented place.,--> P1 --> E42[1_1] --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
place_2_identifier_type,Identifier Type,This field is used to indicate the type of an identifier attributed to the documented place.,--> P1 --> E42[1_1] --> P2 --> E55[2_1],Swiss Art Research Infrastructure
place_3_identifier_provider,Identifier Provider,This field is used to indicate the institution providing the documented place it's ID.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P14 --> E39[3_2],Swiss Art Research Infrastructure
place_4_identifier_source,Identifier Source,This field is used to indicate the source based on which the identifier was attributed to the place.,--> P1 --> E42[1_1] --> P37i --> E15[3_1] --> P16 --> E73[4_1],Swiss Art Research Infrastructure
place_17_type,Type,This field is used to indicate the formal type of place a documented instance of place is classified as.,--> P2 --> E55[17_1],Swiss Art Research Infrastructure
place_18_type_start_-_date,Type - Start Date,This field is used to indicate at what date a place type was specified to hold for a place.,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P4 --> E52[18_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
place_19_type_-_end_date,Type - End Date,This field is used to indicate at what date a place type was specified to cease to hold for a place.,--> P41i --> E17[18_1] --> P42 --> E55[17_1]<br><br> --> P41i --> E17[18_1] --> P4 --> E52[18_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
place_5_name,Name,This field is used to indicate the main name attributed to the documented instance of place.,--> P1 --> E33_E41[5_1] --> P190 --> rdfs:Literal<br><br> --> P1 --> E33_E41[5_1] --> P2 --> E55[5_2]{'preferred terms'},Swiss Art Research Infrastructure
place_6_name_language,Name Language,This field is used to indicate the language of the name given to the place.,--> P1 --> E33_E41[5_1] --> P72 --> E56[6_1],Swiss Art Research Infrastructure
place_7_name_part,Name Part,This field is used to indicate a specific part of the name attributed to the documented instance of place.,--> P1 --> E33_E41[5_1] --> P106 --> E41[7_1] --> rdfs:label --> rdfs:Literal,Swiss Art Research Infrastructure
place_8_name_part_type,Name Part Type,This field is used to indicate the type of the specific part of the name attributed to the documented instance of place.,--> P1 --> E33_E41[5_1] --> P106 --> E33_E41[7_1] --> P2 --> E55[8_1],Swiss Art Research Infrastructure
place_10_alternative_name,Alternative Name,This field is used to indicate additional names under which the documented instance of place is known. This can be linked to the additional name type and earliest and latest date of use of that name.,--> P1 --> E33_E41[10_1]  --> P190 --> rdfs:Literal,Swiss Art Research Infrastructure
place_11_alternative_name_type,Alternative Name Type,This field is used to indicate the type of alternate name that is attributed to the documented instance of place.,--> P1 --> E33_E41[10_1] --> P2 --> E55[11_1],Swiss Art Research Infrastructure
place_12_alternative_name_language,Alternative Name Language,This field is used to indicate the language of the additional name given to the place.,--> P1 --> E33_E41[10_1] --> P72 --> E56[12_1],Swiss Art Research Infrastructure
place_13_alternative_name_use_period_-_earliest,Alternative Name Use Period - Earliest,This field is used to indicate the earliest known date for use of an alternate name for the documented instance of place.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82a --> xsd:dateTime,Swiss Art Research Infrastructure
place_14_alternative_name_use_period_-_latest,Alternative Name Use Period - Latest,This field is used to indicate the latest known date for use of an alternate name for the documented instance of place.,--> P1 --> E33_E41[10_1] --> R64i --> F52[13_1] --> P4 --> E52[13_2] --> P82b --> xsd:dateTime,Swiss Art Research Infrastructure
place_15_alternative_name_-_attributed_by,Alternative Name - Attributed by,This field is used to indicate the organization attributing the instance of name use to the place.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P14 --> E39[15_2],Swiss Art Research Infrastructure
place_16_alternative_name_-_source,Alternative Name - Source,This field is used to indicate the source on which the organization attributing the instance of name use based their attribution.,--> P1 --> E33_E41[10_1] --> P141i --> E13[15_1] --> P16 --> E73[16_1],Swiss Art Research Infrastructure
